1,2,3,4,5,6,7,8,9,10,11,12
1575.12,1575.12,1575.12,1575.12,1575.12,1575.12,1575.12,1575.12,1575.12,1575.12,1575.12,1575.12
1272.76,1272.76,1272.76,1272.76,1272.76,1272.76,1272.76,1272.76,1272.76,1272.76,1272.76,1272.76
4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0
491.63,491.63,491.63,491.63,491.63,491.63,491.63,491.63,491.63,491.63,491.63,491.63
4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0
594.17,594.17,594.17,594.17,594.17,594.17,594.17,594.17,594.17,594.17,594.17,594.17
18521.81,18521.81,18521.81,18521.81,18521.81,18521.81,18521.81,18521.81,18521.81,18521.81,18521.81,18521.81
183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33
945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0
224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0
300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
1818.0,1818.0,1818.0,1818.0,1818.0,1818.0,1818.0,1818.0,1818.0,1818.0,1818.0,1818.0
1596.0,1596.0,1596.0,1596.0,1596.0,1596.0,1596.0,1596.0,1596.0,1596.0,1596.0,1596.0
912.0,912.0,912.0,912.0,912.0,912.0,912.0,912.0,912.0,912.0,912.0,912.0
1995.63,1995.63,1995.63,1995.63,1995.63,1995.63,1995.63,1995.63,1995.63,1995.63,1995.63,1995.63
52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0
4564.23,4564.23,4564.23,4564.23,4564.23,4564.23,4564.23,4564.23,4564.23,4564.23,4564.23,4564.23
3990.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0
399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0
1200.04,1200.04,1200.04,1200.04,1200.04,1200.04,1200.04,1200.04,1200.04,1200.04,1200.04,1200.04
14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25
102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
5263.67,5263.67,5263.67,5263.67,5263.67,5263.67,5263.67,5263.67,5263.67,5263.67,5263.67,5263.67
30833.33,30833.33,30833.33,30833.33,30833.33,30833.33,30833.33,30833.33,30833.33,30833.33,30833.33,30833.33
4232.0,4232.0,4232.0,4232.0,4232.0,4232.0,4232.0,4232.0,4232.0,4232.0,4232.0,4232.0
233.83,233.83,233.83,233.83,233.83,233.83,233.83,233.83,233.83,233.83,233.83,233.83
29777.5,29777.5,29777.5,29777.5,29777.5,29777.5,29777.5,29777.5,29777.5,29777.5,29777.5,29777.5
578.74,578.74,578.74,578.74,578.74,578.74,578.74,578.74,578.74,578.74,578.74,578.74
9578.33,9578.33,9578.33,9578.33,9578.33,9578.33,9578.33,9578.33,9578.33,9578.33,9578.33,9578.33
926.67,926.67,926.67,926.67,926.67,926.67,926.67,926.67,926.67,926.67,926.67,926.67
245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0
2317.1,2317.1,2317.1,2317.1,2317.1,2317.1,2317.1,2317.1,2317.1,2317.1,2317.1,2317.1
327.35,327.35,327.35,327.35,327.35,327.35,327.35,327.35,327.35,327.35,327.35,327.35
3862.03,3862.03,3862.03,3862.03,3862.03,3862.03,3862.03,3862.03,3862.03,3862.03,3862.03,3862.03
1332.0,1332.0,1332.0,1332.0,1332.0,1332.0,1332.0,1332.0,1332.0,1332.0,1332.0,1332.0
345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0
17333.33,17333.33,17333.33,17333.33,17333.33,17333.33,17333.33,17333.33,17333.33,17333.33,17333.33,17333.33
425.65,425.65,425.65,425.65,425.65,425.65,425.65,425.65,425.65,425.65,425.65,425.65
2718.33,2718.33,2718.33,2718.33,2718.33,2718.33,2718.33,2718.33,2718.33,2718.33,2718.33,2718.33
183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33
303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33
339.17,339.17,339.17,339.17,339.17,339.17,339.17,339.17,339.17,339.17,339.17,339.17
233.33,233.33,233.33,233.33,233.33,233.33,233.33,233.33,233.33,233.33,233.33,233.33
2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0
1302.81,1302.81,1302.81,1302.81,1302.81,1302.81,1302.81,1302.81,1302.81,1302.81,1302.81,1302.81
583.33,583.33,583.33,583.33,583.33,583.33,583.33,583.33,583.33,583.33,583.33,583.33
33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33
133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33
4960.06,4960.06,4960.06,4960.06,4960.06,4960.06,4960.06,4960.06,4960.06,4960.06,4960.06,4960.06
693.07,693.07,693.07,693.07,693.07,693.07,693.07,693.07,693.07,693.07,693.07,693.07
1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1810.7,1810.7,1810.7,1810.7,1810.7,1810.7,1810.7,1810.7,1810.7,1810.7,1810.7,1810.7
291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67
1879.17,1879.17,1879.17,1879.17,1879.17,1879.17,1879.17,1879.17,1879.17,1879.17,1879.17,1879.17
665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0
290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5
1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0
3948.67,3948.67,3948.67,3948.67,3948.67,3948.67,3948.67,3948.67,3948.67,3948.67,3948.67,3948.67
2564.58,2564.58,2564.58,2564.58,2564.58,2564.58,2564.58,2564.58,2564.58,2564.58,2564.58,2564.58
4571.25,4571.25,4571.25,4571.25,4571.25,4571.25,4571.25,4571.25,4571.25,4571.25,4571.25,4571.25
2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0
561.23,561.23,561.23,561.23,561.23,561.23,561.23,561.23,561.23,561.23,561.23,561.23
1773.33,1773.33,1773.33,1773.33,1773.33,1773.33,1773.33,1773.33,1773.33,1773.33,1773.33,1773.33
283.33,283.33,283.33,283.33,283.33,283.33,283.33,283.33,283.33,283.33,283.33,283.33
354.08,354.08,354.08,354.08,354.08,354.08,354.08,354.08,354.08,354.08,354.08,354.08
110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
146.25,146.25,146.25,146.25,146.25,146.25,146.25,146.25,146.25,146.25,146.25,146.25
13682.36,13682.36,13682.36,13682.36,13682.36,13682.36,13682.36,13682.36,13682.36,13682.36,13682.36,13682.36
466.67,466.67,466.67,466.67,466.67,466.67,466.67,466.67,466.67,466.67,466.67,466.67
326.88,326.88,326.88,326.88,326.88,326.88,326.88,326.88,326.88,326.88,326.88,326.88
4324.03,4324.03,4324.03,4324.03,4324.03,4324.03,4324.03,4324.03,4324.03,4324.03,4324.03,4324.03
92.91,92.91,92.91,92.91,92.91,92.91,92.91,92.91,92.91,92.91,92.91,92.91
233.33,233.33,233.33,233.33,233.33,233.33,233.33,233.33,233.33,233.33,233.33,233.33
105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
1658.33,1658.33,1658.33,1658.33,1658.33,1658.33,1658.33,1658.33,1658.33,1658.33,1658.33,1658.33
109.25,109.25,109.25,109.25,109.25,109.25,109.25,109.25,109.25,109.25,109.25,109.25
9583.33,9583.33,9583.33,9583.33,9583.33,9583.33,9583.33,9583.33,9583.33,9583.33,9583.33,9583.33
166.67,166.67,166.67,166.67,166.67,166.67,166.67,166.67,166.67,166.67,166.67,166.67
1237.18,1237.18,1237.18,1237.18,1237.18,1237.18,1237.18,1237.18,1237.18,1237.18,1237.18,1237.18
66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67
335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0
2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
5266.67,5266.67,5266.67,5266.67,5266.67,5266.67,5266.67,5266.67,5266.67,5266.67,5266.67,5266.67
4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13
1989.18,1989.18,1989.18,1989.18,1989.18,1989.18,1989.18,1989.18,1989.18,1989.18,1989.18,1989.18
368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0
21798.67,21798.67,21798.67,21798.67,21798.67,21798.67,21798.67,21798.67,21798.67,21798.67,21798.67,21798.67
519.61,519.61,519.61,519.61,519.61,519.61,519.61,519.61,519.61,519.61,519.61,519.61
2522.63,2522.63,2522.63,2522.63,2522.63,2522.63,2522.63,2522.63,2522.63,2522.63,2522.63,2522.63
190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0
299.6,299.6,299.6,299.6,299.6,299.6,299.6,299.6,299.6,299.6,299.6,299.6
1508.72,1508.72,1508.72,1508.72,1508.72,1508.72,1508.72,1508.72,1508.72,1508.72,1508.72,1508.72
8385.78,8385.78,8385.78,8385.78,8385.78,8385.78,8385.78,8385.78,8385.78,8385.78,8385.78,8385.78
715.2,715.2,715.2,715.2,715.2,715.2,715.2,715.2,715.2,715.2,715.2,715.2
8145.99,8145.99,8145.99,8145.99,8145.99,8145.99,8145.99,8145.99,8145.99,8145.99,8145.99,8145.99
728.33,728.33,728.33,728.33,728.33,728.33,728.33,728.33,728.33,728.33,728.33,728.33
198621.89,198621.89,198621.89,198621.89,198621.89,198621.89,198621.89,198621.89,198621.89,198621.89,198621.89,198621.89
98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4
4316.67,4316.67,4316.67,4316.67,4316.67,4316.67,4316.67,4316.67,4316.67,4316.67,4316.67,4316.67
26300.51,26300.51,26300.51,26300.51,26300.51,26300.51,26300.51,26300.51,26300.51,26300.51,26300.51,26300.51
7104.37,7104.37,7104.37,7104.37,7104.37,7104.37,7104.37,7104.37,7104.37,7104.37,7104.37,7104.37
93378.24,93378.24,93378.24,93378.24,93378.24,93378.24,93378.24,93378.24,93378.24,93378.24,93378.24,93378.24
11246.82,11246.82,11246.82,11246.82,11246.82,11246.82,11246.82,11246.82,11246.82,11246.82,11246.82,11246.82
44433.43,44433.43,44433.43,44433.43,44433.43,44433.43,44433.43,44433.43,44433.43,44433.43,44433.43,44433.43
8238.13,8238.13,8238.13,8238.13,8238.13,8238.13,8238.13,8238.13,8238.13,8238.13,8238.13,8238.13
7029.06,7029.06,7029.06,7029.06,7029.06,7029.06,7029.06,7029.06,7029.06,7029.06,7029.06,7029.06
5267.65,5267.65,5267.65,5267.65,5267.65,5267.65,5267.65,5267.65,5267.65,5267.65,5267.65,5267.65
2919.87,2919.87,2919.87,2919.87,2919.87,2919.87,2919.87,2919.87,2919.87,2919.87,2919.87,2919.87
19859.8,19859.8,19859.8,19859.8,19859.8,19859.8,19859.8,19859.8,19859.8,19859.8,19859.8,19859.8
3419.07,3419.07,3419.07,3419.07,3419.07,3419.07,3419.07,3419.07,3419.07,3419.07,3419.07,3419.07
923.57,923.57,923.57,923.57,923.57,923.57,923.57,923.57,923.57,923.57,923.57,923.57
28817.2,28817.2,28817.2,28817.2,28817.2,28817.2,28817.2,28817.2,28817.2,28817.2,28817.2,28817.2
1437.24,1437.24,1437.24,1437.24,1437.24,1437.24,1437.24,1437.24,1437.24,1437.24,1437.24,1437.24
5776.35,5776.35,5776.35,5776.35,5776.35,5776.35,5776.35,5776.35,5776.35,5776.35,5776.35,5776.35
1070.96,1070.96,1070.96,1070.96,1070.96,1070.96,1070.96,1070.96,1070.96,1070.96,1070.96,1070.96
913.78,913.78,913.78,913.78,913.78,913.78,913.78,913.78,913.78,913.78,913.78,913.78
652.54,652.54,652.54,652.54,652.54,652.54,652.54,652.54,652.54,652.54,652.54,652.54
379.58,379.58,379.58,379.58,379.58,379.58,379.58,379.58,379.58,379.58,379.58,379.58
5416.07,5416.07,5416.07,5416.07,5416.07,5416.07,5416.07,5416.07,5416.07,5416.07,5416.07,5416.07
1430.49,1430.49,1430.49,1430.49,1430.49,1430.49,1430.49,1430.49,1430.49,1430.49,1430.49,1430.49
44564.64,44564.64,44564.64,44564.64,44564.64,44564.64,44564.64,44564.64,44564.64,44564.64,44564.64,44564.64
2387.27,2387.27,2387.27,2387.27,2387.27,2387.27,2387.27,2387.27,2387.27,2387.27,2387.27,2387.27
8886.69,8886.69,8886.69,8886.69,8886.69,8886.69,8886.69,8886.69,8886.69,8886.69,8886.69,8886.69
1642.63,1642.63,1642.63,1642.63,1642.63,1642.63,1642.63,1642.63,1642.63,1642.63,1642.63,1642.63
1757.26,1757.26,1757.26,1757.26,1757.26,1757.26,1757.26,1757.26,1757.26,1757.26,1757.26,1757.26
1176.21,1176.21,1176.21,1176.21,1176.21,1176.21,1176.21,1176.21,1176.21,1176.21,1176.21,1176.21
644.8,644.8,644.8,644.8,644.8,644.8,644.8,644.8,644.8,644.8,644.8,644.8
7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0
203.35,203.35,203.35,203.35,203.35,203.35,203.35,203.35,203.35,203.35,203.35,203.35
867.91,867.91,867.91,867.91,867.91,867.91,867.91,867.91,867.91,867.91,867.91,867.91
238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0
258.33,258.33,258.33,258.33,258.33,258.33,258.33,258.33,258.33,258.33,258.33,258.33
11554.68,11554.68,11554.68,11554.68,11554.68,11554.68,11554.68,11554.68,11554.68,11554.68,11554.68,11554.68
123.17,123.17,123.17,123.17,123.17,123.17,123.17,123.17,123.17,123.17,123.17,123.17
11083.54,11083.54,11083.54,11083.54,11083.54,11083.54,11083.54,11083.54,11083.54,11083.54,11083.54,11083.54
544.8,544.8,544.8,544.8,544.8,544.8,544.8,544.8,544.8,544.8,544.8,544.8
2962.23,2962.23,2962.23,2962.23,2962.23,2962.23,2962.23,2962.23,2962.23,2962.23,2962.23,2962.23
125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
466.67,466.67,466.67,466.67,466.67,466.67,466.67,466.67,466.67,466.67,466.67,466.67
208.85,208.85,208.85,208.85,208.85,208.85,208.85,208.85,208.85,208.85,208.85,208.85
4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27
1972.54,1972.54,1972.54,1972.54,1972.54,1972.54,1972.54,1972.54,1972.54,1972.54,1972.54,1972.54
532.83,532.83,532.83,532.83,532.83,532.83,532.83,532.83,532.83,532.83,532.83,532.83
16625.31,16625.31,16625.31,16625.31,16625.31,16625.31,16625.31,16625.31,16625.31,16625.31,16625.31,16625.31
829.18,829.18,829.18,829.18,829.18,829.18,829.18,829.18,829.18,829.18,829.18,829.18
3332.51,3332.51,3332.51,3332.51,3332.51,3332.51,3332.51,3332.51,3332.51,3332.51,3332.51,3332.51
617.86,617.86,617.86,617.86,617.86,617.86,617.86,617.86,617.86,617.86,617.86,617.86
527.18,527.18,527.18,527.18,527.18,527.18,527.18,527.18,527.18,527.18,527.18,527.18
376.46,376.46,376.46,376.46,376.46,376.46,376.46,376.46,376.46,376.46,376.46,376.46
218.99,218.99,218.99,218.99,218.99,218.99,218.99,218.99,218.99,218.99,218.99,218.99
