A,B,C,D,E,F,G,H,I,J,K,L
1923.750,1923.750,1923.750,1923.750,1923.750,1923.750,1923.750,1923.750,1923.750,1923.750,1923.750,1923.750
107.000,107.000,107.000,107.000,107.000,107.000,107.000,107.000,107.000,107.000,107.000,107.000
2107.600,2107.600,2107.600,2107.600,2107.600,2107.600,2107.600,2107.600,2107.600,2107.600,2107.600,2107.600
8400.000,8400.000,8400.000,8400.000,8400.000,8400.000,8400.000,8400.000,8400.000,8400.000,8400.000,8400.000
2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000
237.500,237.500,237.500,237.500,237.500,237.500,237.500,237.500,237.500,237.500,237.500,237.500
17193.517,17193.517,17193.517,17193.517,17193.517,17193.517,17193.517,17193.517,17193.517,17193.517,17193.517,17193.517
3900.000,3900.000,3900.000,3900.000,3900.000,3900.000,3900.000,3900.000,3900.000,3900.000,3900.000,3900.000
2083.333,2083.333,2083.333,2083.333,2083.333,2083.333,2083.333,2083.333,2083.333,2083.333,2083.333,2083.333
108.333,108.333,108.333,108.333,108.333,108.333,108.333,108.333,108.333,108.333,108.333,108.333
5000.000,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000
5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833
1164.583,1164.583,1164.583,1164.583,1164.583,1164.583,1164.583,1164.583,1164.583,1164.583,1164.583,1164.583
500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
1019.896,1019.896,1019.896,1019.896,1019.896,1019.896,1019.896,1019.896,1019.896,1019.896,1019.896,1019.896
2787.500,2787.500,2787.500,2787.500,2787.500,2787.500,2787.500,2787.500,2787.500,2787.500,2787.500,2787.500
2444.412,2444.412,2444.412,2444.412,2444.412,2444.412,2444.412,2444.412,2444.412,2444.412,2444.412,2444.412
2666.667,2666.667,2666.667,2666.667,2666.667,2666.667,2666.667,2666.667,2666.667,2666.667,2666.667,2666.667
1700.000,1700.000,1700.000,1700.000,1700.000,1700.000,1700.000,1700.000,1700.000,1700.000,1700.000,1700.000
126.458,126.458,126.458,126.458,126.458,126.458,126.458,126.458,126.458,126.458,126.458,126.458
11049.855,11049.855,11049.855,11049.855,11049.855,11049.855,11049.855,11049.855,11049.855,11049.855,11049.855,11049.855
12973.390,12973.390,12973.390,12973.390,12973.390,12973.390,12973.390,12973.390,12973.390,12973.390,12973.390,12973.390
375.917,375.917,375.917,375.917,375.917,375.917,375.917,375.917,375.917,375.917,375.917,375.917
65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000
10416.667,10416.667,10416.667,10416.667,10416.667,10416.667,10416.667,10416.667,10416.667,10416.667,10416.667,10416.667
441.852,441.852,441.852,441.852,441.852,441.852,441.852,441.852,441.852,441.852,441.852,441.852
542.500,542.500,542.500,542.500,542.500,542.500,542.500,542.500,542.500,542.500,542.500,542.500
60.125,60.125,60.125,60.125,60.125,60.125,60.125,60.125,60.125,60.125,60.125,60.125
2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000
