A,B,C,D,E,F,G,H,I,J,K,L
1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75
107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6
8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0
2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52
3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0
2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33
108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33
5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83
1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
1019.9,1019.9,1019.9,1019.9,1019.9,1019.9,1019.9,1019.9,1019.9,1019.9,1019.9,1019.9
2787.5,2787.5,2787.5,2787.5,2787.5,2787.5,2787.5,2787.5,2787.5,2787.5,2787.5,2787.5
2444.41,2444.41,2444.41,2444.41,2444.41,2444.41,2444.41,2444.41,2444.41,2444.41,2444.41,2444.41
2666.67,2666.67,2666.67,2666.67,2666.67,2666.67,2666.67,2666.67,2666.67,2666.67,2666.67,2666.67
1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0
126.46,126.46,126.46,126.46,126.46,126.46,126.46,126.46,126.46,126.46,126.46,126.46
11049.86,11049.86,11049.86,11049.86,11049.86,11049.86,11049.86,11049.86,11049.86,11049.86,11049.86,11049.86
12973.39,12973.39,12973.39,12973.39,12973.39,12973.39,12973.39,12973.39,12973.39,12973.39,12973.39,12973.39
375.92,375.92,375.92,375.92,375.92,375.92,375.92,375.92,375.92,375.92,375.92,375.92
65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67
441.85,441.85,441.85,441.85,441.85,441.85,441.85,441.85,441.85,441.85,441.85,441.85
542.5,542.5,542.5,542.5,542.5,542.5,542.5,542.5,542.5,542.5,542.5,542.5
60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12
2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
